value,date
5,2006-08
4,2006-10
9,2006-12
2,2007-01
4,2007-02
2,2007-03
21,2007-04
9,2007-05
38,2007-06
26,2007-07
133,2007-08
176,2007-09
280,2007-10
118,2007-11
322,2007-12
628,2008-01
744,2008-02
1266,2008-03
3551,2008-04
2793,2008-05
3225,2008-06
3878,2008-07
9979,2008-08
8862,2008-09
23193,2008-10
9619,2008-11
13355,2008-12
21256,2009-01
33624,2009-02
45098,2009-03
42071,2009-04
40511,2009-05
521315,2009-06
56245,2009-07
117750,2009-08
86749,2009-09
143996,2009-10
157185,2009-11
152553,2009-12
303523,2010-01
352551,2010-02
359718,2010-03
325377,2010-04
600962,2010-05
2234505,2010-06
2321699,2010-07
1772109,2010-08
1131923,2010-09
1066703,2010-10
818046,2010-11
1251262,2010-12
1030169,2011-01
993349,2011-02
1176865,2011-03
800332,2011-04
892461,2011-05
724953,2011-06
979361,2011-07
5794171,2011-08
5127269,2011-09
1196236,2011-10
1362182,2011-11
1768453,2011-12
2099105,2012-01
1754009,2012-02
2052364,2012-03
1611765,2012-04
2002546,2012-05
1781820,2012-06
1602456,2012-07
1983984,2012-08
2034566,2012-09
2293838,2012-10
2783020,2012-11
2481329,2012-12
2268940,2013-01
1830344,2013-02
4059109,2013-03
2770823,2013-04
2190155,2013-05
2010238,2013-06
1945903,2013-07
2031563,2013-08
2422278,2013-09
2180917,2013-10
3048783,2013-11
3369099,2013-12
2764563,2014-01
2876699,2014-02
5024778,2014-03
5822677,2014-04
5353371,2014-05
3550950,2014-06
2820085,2014-07
4001799,2014-08
2989407,2014-09
2846188,2014-10
2733678,2014-11
3021010,2014-12
