people editing for the first time,date
1,2005-04-09
1,2005-04-17
1,2005-04-18
1,2005-05-01
1,2005-05-22
1,2005-05-25
2,2005-06-02
1,2005-06-05
1,2005-06-08
2,2005-07-07
1,2005-07-12
1,2005-07-18
3,2005-07-21
1,2005-07-25
1,2005-07-26
1,2005-07-30
1,2005-08-03
1,2005-08-05
2,2005-08-07
2,2005-08-08
1,2005-08-10
1,2005-08-14
1,2005-08-20
1,2005-08-27
1,2005-08-30
1,2005-09-01
1,2005-09-12
1,2005-09-26
1,2005-09-27
1,2005-09-29
2,2005-10-03
1,2005-10-20
2,2005-10-21
1,2005-10-22
1,2005-10-23
1,2005-10-25
2,2005-11-01
1,2005-11-02
1,2005-11-03
1,2005-11-06
1,2005-11-07
1,2005-11-08
1,2005-11-09
1,2005-11-10
1,2005-11-13
1,2005-11-15
1,2005-11-16
1,2005-11-17
1,2005-11-19
3,2005-11-26
1,2005-11-27
1,2005-11-29
1,2005-12-02
1,2005-12-04
1,2005-12-10
2,2005-12-11
1,2005-12-12
1,2005-12-15
1,2005-12-17
2,2005-12-18
1,2005-12-21
2,2005-12-23
2,2005-12-25
1,2005-12-26
3,2005-12-27
1,2005-12-30
2,2006-01-04
3,2006-01-05
1,2006-01-06
1,2006-01-07
1,2006-01-09
1,2006-01-10
1,2006-01-11
1,2006-01-12
2,2006-01-13
1,2006-01-14
1,2006-01-18
2,2006-01-23
1,2006-01-27
1,2006-01-28
1,2006-02-01
1,2006-02-05
2,2006-02-12
1,2006-02-13
1,2006-02-17
1,2006-02-19
1,2006-02-20
2,2006-02-21
1,2006-02-22
3,2006-02-24
1,2006-03-11
2,2006-03-12
2,2006-03-13
2,2006-03-14
1,2006-03-15
1,2006-03-17
1,2006-03-21
1,2006-03-23
1,2006-03-24
1,2006-03-28
1,2006-03-29
1,2006-03-30
1,2006-04-01
1,2006-04-02
1,2006-04-06
1,2006-04-07
3,2006-04-08
2,2006-04-09
2,2006-04-11
1,2006-04-12
1,2006-04-13
3,2006-04-14
2,2006-04-16
1,2006-04-17
2,2006-04-20
1,2006-04-21
1,2006-04-22
2,2006-04-23
1,2006-04-25
1,2006-04-26
1,2006-04-27
1,2006-04-30
1,2006-05-04
1,2006-05-06
2,2006-05-07
1,2006-05-08
1,2006-05-10
2,2006-05-11
1,2006-05-12
1,2006-05-13
4,2006-05-14
1,2006-05-15
3,2006-05-16
1,2006-05-19
2,2006-05-21
2,2006-05-22
2,2006-05-23
2,2006-05-24
2,2006-05-25
2,2006-05-26
1,2006-05-27
1,2006-05-29
3,2006-05-31
2,2006-06-01
1,2006-06-04
1,2006-06-07
2,2006-06-08
1,2006-06-09
1,2006-06-10
1,2006-06-11
2,2006-06-12
1,2006-06-13
1,2006-06-14
1,2006-06-15
1,2006-06-17
2,2006-06-19
1,2006-06-23
2,2006-06-24
1,2006-06-26
1,2006-06-27
1,2006-06-28
2,2006-06-29
1,2006-07-01
1,2006-07-03
2,2006-07-06
2,2006-07-07
1,2006-07-08
1,2006-07-09
1,2006-07-11
1,2006-07-12
4,2006-07-14
2,2006-07-15
1,2006-07-16
4,2006-07-17
1,2006-07-19
1,2006-07-24
1,2006-07-26
2,2006-07-27
3,2006-07-29
1,2006-07-31
2,2006-08-01
2,2006-08-02
1,2006-08-04
1,2006-08-06
1,2006-08-09
1,2006-08-11
3,2006-08-12
2,2006-08-13
1,2006-08-15
2,2006-08-16
2,2006-08-17
2,2006-08-19
3,2006-08-20
2,2006-08-21
1,2006-08-22
2,2006-08-23
1,2006-08-24
1,2006-08-25
1,2006-08-26
4,2006-08-29
1,2006-08-30
1,2006-08-31
1,2006-09-01
1,2006-09-02
4,2006-09-05
2,2006-09-06
1,2006-09-08
