value,date
1,2005-04-09
94,2005-04-17
143,2005-04-18
94,2005-04-19
1,2005-04-26
24,2005-05-01
24,2005-05-02
24,2005-05-03
24,2005-05-04
24,2005-05-09
24,2005-05-10
24,2005-05-14
1,2005-05-21
204,2005-05-22
24,2005-05-23
204,2005-05-24
229,2005-05-25
229,2005-05-26
229,2005-05-27
229,2005-05-28
204,2005-05-29
204,2005-05-30
229,2005-06-01
259,2005-06-02
24,2005-06-03
24,2005-06-04
131,2005-06-05
131,2005-06-06
131,2005-06-07
279,2005-06-08
229,2005-06-09
131,2005-06-11
131,2005-06-12
279,2005-06-15
229,2005-06-23
143,2005-06-24
143,2005-06-25
204,2005-06-27
143,2005-06-28
143,2005-06-29
229,2005-07-05
229,2005-07-06
335,2005-07-07
335,2005-07-08
335,2005-07-10
356,2005-07-12
335,2005-07-14
335,2005-07-16
460,2005-07-18
460,2005-07-19
460,2005-07-20
489,2005-07-21
229,2005-07-22
460,2005-07-23
460,2005-07-24
515,2005-07-25
525,2005-07-26
515,2005-07-27
371,2005-07-28
371,2005-07-29
550,2005-07-30
371,2005-07-31
371,2005-08-01
460,2005-08-02
566,2005-08-03
566,2005-08-04
568,2005-08-05
371,2005-08-06
572,2005-08-07
573,2005-08-08
566,2005-08-09
578,2005-08-10
559,2005-08-11
559,2005-08-12
371,2005-08-13
546,2005-08-14
559,2005-08-15
559,2005-08-16
559,2005-08-17
371,2005-08-18
229,2005-08-19
371,2005-08-20
460,2005-08-21
460,2005-08-23
24,2005-08-24
24,2005-08-25
552,2005-08-27
371,2005-08-28
515,2005-08-29
610,2005-08-30
238,2005-08-31
508,2005-09-01
371,2005-09-03
508,2005-09-04
508,2005-09-05
508,2005-09-06
508,2005-09-07
508,2005-09-08
508,2005-09-09
508,2005-09-10
508,2005-09-11
662,2005-09-12
508,2005-09-13
508,2005-09-14
238,2005-09-15
662,2005-09-16
508,2005-09-17
508,2005-09-18
508,2005-09-19
508,2005-09-20
508,2005-09-21
460,2005-09-22
508,2005-09-25
697,2005-09-26
725,2005-09-27
508,2005-09-28
735,2005-09-29
735,2005-09-30
735,2005-10-01
735,2005-10-02
745,2005-10-03
735,2005-10-04
735,2005-10-05
508,2005-10-06
735,2005-10-07
735,2005-10-08
735,2005-10-09
735,2005-10-10
735,2005-10-11
508,2005-10-12
508,2005-10-13
735,2005-10-14
735,2005-10-15
735,2005-10-16
735,2005-10-17
735,2005-10-18
662,2005-10-19
735,2005-10-20
864,2005-10-21
867,2005-10-22
867,2005-10-23
717,2005-10-24
913,2005-10-25
913,2005-10-26
735,2005-10-29
913,2005-10-30
735,2005-10-31
971,2005-11-01
979,2005-11-02
717,2005-11-03
867,2005-11-04
735,2005-11-05
717,2005-11-06
999,2005-11-07
1003,2005-11-08
999,2005-11-09
1027,2005-11-10
617,2005-11-11
867,2005-11-12
1055,2005-11-13
867,2005-11-14
1066,2005-11-15
1082,2005-11-16
1036,2005-11-17
1066,2005-11-18
340,2005-11-19
1036,2005-11-20
1036,2005-11-21
1055,2005-11-22
999,2005-11-23
662,2005-11-24
999,2005-11-25
1160,2005-11-26
1164,2005-11-27
1157,2005-11-28
1179,2005-11-29
1157,2005-11-30
1157,2005-12-01
1199,2005-12-02
735,2005-12-03
1205,2005-12-04
1205,2005-12-05
1205,2005-12-06
229,2005-12-07
1164,2005-12-08
508,2005-12-09
1238,2005-12-10
1242,2005-12-11
1246,2005-12-12
1246,2005-12-13
1238,2005-12-14
1261,2005-12-15
1238,2005-12-16
1270,2005-12-17
1242,2005-12-18
1238,2005-12-19
1238,2005-12-20
1268,2005-12-21
1238,2005-12-22
1297,2005-12-23
1297,2005-12-24
1298,2005-12-25
1298,2005-12-26
1308,2005-12-27
1308,2005-12-28
1308,2005-12-29
1321,2005-12-30
1321,2005-12-31
1321,2006-01-01
1308,2006-01-02
1308,2006-01-03
1359,2006-01-04
1360,2006-01-05
1359,2006-01-06
1377,2006-01-07
1377,2006-01-08
1388,2006-01-09
1383,2006-01-10
1359,2006-01-11
1410,2006-01-12
1416,2006-01-13
1410,2006-01-14
1399,2006-01-15
1410,2006-01-16
1410,2006-01-17
1359,2006-01-18
1410,2006-01-19
1410,2006-01-20
1399,2006-01-21
1399,2006-01-22
1471,2006-01-23
1471,2006-01-24
1471,2006-01-25
1471,2006-01-26
1502,2006-01-27
1506,2006-01-28
1460,2006-01-29
1410,2006-01-30
1410,2006-01-31
1517,2006-02-01
1517,2006-02-02
1399,2006-02-03
1517,2006-02-04
1297,2006-02-05
1517,2006-02-06
1410,2006-02-07
1517,2006-02-08
1399,2006-02-09
1359,2006-02-10
1410,2006-02-11
1555,2006-02-12
1490,2006-02-13
1460,2006-02-14
1471,2006-02-15
1471,2006-02-16
1490,2006-02-17
1471,2006-02-18
1587,2006-02-19
1410,2006-02-20
1607,2006-02-21
1597,2006-02-22
1597,2006-02-23
1623,2006-02-24
1596,2006-02-25
1607,2006-02-26
1623,2006-02-27
1596,2006-02-28
1471,2006-03-01
1471,2006-03-02
1471,2006-03-03
1623,2006-03-04
1399,2006-03-05
1623,2006-03-06
1295,2006-03-07
1623,2006-03-08
1623,2006-03-09
1298,2006-03-10
1697,2006-03-11
1694,2006-03-12
1694,2006-03-13
1694,2006-03-14
1694,2006-03-15
1685,2006-03-16
1747,2006-03-17
1685,2006-03-18
1685,2006-03-19
1694,2006-03-20
1694,2006-03-21
1694,2006-03-22
1775,2006-03-23
1775,2006-03-24
1703,2006-03-25
1694,2006-03-26
1775,2006-03-27
1694,2006-03-28
1818,2006-03-29
1775,2006-03-30
1694,2006-03-31
1623,2006-04-01
1851,2006-04-02
1623,2006-04-03
1697,2006-04-04
1694,2006-04-05
1884,2006-04-06
1892,2006-04-07
1893,2006-04-08
1901,2006-04-09
1901,2006-04-10
1944,2006-04-11
1969,2006-04-12
1987,2006-04-13
2000,2006-04-14
2000,2006-04-15
2020,2006-04-16
1901,2006-04-17
1853,2006-04-18
1697,2006-04-19
2067,2006-04-20
2051,2006-04-21
1889,2006-04-22
2098,2006-04-23
2051,2006-04-24
1994,2006-04-25
2127,2006-04-26
2147,2006-04-27
2127,2006-04-28
2127,2006-04-29
2160,2006-04-30
1399,2006-05-01
2051,2006-05-02
1623,2006-05-04
2051,2006-05-05
2222,2006-05-06
2231,2006-05-07
2244,2006-05-08
2244,2006-05-09
2256,2006-05-10
2274,2006-05-11
2318,2006-05-12
2244,2006-05-13
2352,2006-05-14
2392,2006-05-15
2406,2006-05-16
2311,2006-05-17
2406,2006-05-18
2448,2006-05-19
2448,2006-05-20
2460,2006-05-21
2473,2006-05-22
2488,2006-05-23
2490,2006-05-24
2517,2006-05-25
2411,2006-05-26
2407,2006-05-27
2488,2006-05-28
2488,2006-05-29
2455,2006-05-30
2581,2006-05-31
2585,2006-06-01
2478,2006-06-02
2478,2006-06-03
2612,2006-06-04
2612,2006-06-05
2612,2006-06-06
2612,2006-06-07
2650,2006-06-08
2674,2006-06-09
2680,2006-06-10
2678,2006-06-11
2690,2006-06-12
2690,2006-06-13
2703,2006-06-14
2737,2006-06-15
2682,2006-06-16
2753,2006-06-17
2753,2006-06-18
2785,2006-06-19
2737,2006-06-20
2690,2006-06-21
2690,2006-06-22
2758,2006-06-23
2840,2006-06-24
2705,2006-06-25
2705,2006-06-26
2867,2006-06-27
2612,2006-06-28
2898,2006-06-29
2675,2006-06-30
2690,2006-07-01
2690,2006-07-02
2926,2006-07-03
2682,2006-07-04
2926,2006-07-05
2973,2006-07-06
2976,2006-07-07
2973,2006-07-08
2973,2006-07-09
2973,2006-07-10
2997,2006-07-11
2997,2006-07-12
2973,2006-07-13
3062,2006-07-14
3094,2006-07-15
3094,2006-07-16
3112,2006-07-17
3112,2006-07-18
3130,2006-07-19
3112,2006-07-20
3112,2006-07-21
3112,2006-07-22
3112,2006-07-23
3112,2006-07-24
3094,2006-07-25
3062,2006-07-26
3112,2006-07-27
3112,2006-07-28
3220,2006-07-29
3220,2006-07-30
3231,2006-07-31
3244,2006-08-01
3257,2006-08-02
3062,2006-08-03
2973,2006-08-04
2998,2006-08-05
3206,2006-08-06
3206,2006-08-07
3220,2006-08-08
3234,2006-08-09
3206,2006-08-10
3347,2006-08-11
3357,2006-08-12
3363,2006-08-13
2955,2006-08-14
3378,2006-08-15
3392,2006-08-16
3407,2006-08-17
3234,2006-08-18
3410,2006-08-19
3448,2006-08-20
3460,2006-08-21
3460,2006-08-22
3460,2006-08-23
3482,2006-08-24
3534,2006-08-25
3486,2006-08-26
3174,2006-08-27
3391,2006-08-28
3585,2006-08-29
3585,2006-08-30
3585,2006-08-31
3384,2006-09-01
3620,2006-09-02
3620,2006-09-03
3585,2006-09-04
3668,2006-09-05
3668,2006-09-06
3585,2006-09-07
3704,2006-09-08
3709,2006-09-09
3729,2006-09-10
3744,2006-09-11
3755,2006-09-12
3744,2006-09-13
3670,2006-09-14
3697,2006-09-15
3796,2006-09-16
3816,2006-09-17
3834,2006-09-18
3834,2006-09-19
3874,2006-09-20
3776,2006-09-21
3918,2006-09-22
3921,2006-09-23
3921,2006-09-24
3921,2006-09-25
3937,2006-09-26
3937,2006-09-27
3984,2006-09-28
3995,2006-09-29
4013,2006-09-30
4020,2006-10-01
4020,2006-10-02
4054,2006-10-03
4049,2006-10-04
4111,2006-10-05
4115,2006-10-06
4115,2006-10-07
4115,2006-10-08
3980,2006-10-09
4013,2006-10-10
4210,2006-10-11
4210,2006-10-12
4013,2006-10-13
4228,2006-10-14
4228,2006-10-15
4276,2006-10-16
4276,2006-10-17
4228,2006-10-18
4210,2006-10-19
4228,2006-10-20
4228,2006-10-21
4363,2006-10-22
4428,2006-10-23
4430,2006-10-24
4459,2006-10-25
4469,2006-10-26
4469,2006-10-27
4469,2006-10-28
4502,2006-10-29
4522,2006-10-30
4502,2006-10-31
4502,2006-11-01
4228,2006-11-02
4559,2006-11-03
4559,2006-11-04
4595,2006-11-05
4559,2006-11-06
4627,2006-11-07
4595,2006-11-08
4559,2006-11-09
4623,2006-11-10
4652,2006-11-11
4678,2006-11-12
4685,2006-11-13
4738,2006-11-14
4786,2006-11-15
4793,2006-11-16
4792,2006-11-17
4793,2006-11-18
4793,2006-11-19
4849,2006-11-20
4849,2006-11-21
4895,2006-11-22
4903,2006-11-23
4918,2006-11-24
4902,2006-11-25
4948,2006-11-26
4961,2006-11-27
4985,2006-11-28
4983,2006-11-29
4983,2006-11-30
5010,2006-12-01
5026,2006-12-02
5026,2006-12-03
5041,2006-12-04
5041,2006-12-05
5040,2006-12-06
5101,2006-12-07
5112,2006-12-08
5116,2006-12-09
5112,2006-12-10
5143,2006-12-11
5133,2006-12-12
5167,2006-12-13
5178,2006-12-14
5193,2006-12-15
5205,2006-12-16
5216,2006-12-17
5235,2006-12-18
5251,2006-12-19
5251,2006-12-20
5138,2006-12-21
5265,2006-12-22
5278,2006-12-23
5285,2006-12-24
5287,2006-12-25
5290,2006-12-26
5297,2006-12-27
5306,2006-12-28
5336,2006-12-29
5330,2006-12-30
5346,2006-12-31
5363,2007-01-01
5363,2007-01-02
5384,2007-01-03
5404,2007-01-04
5432,2007-01-05
5442,2007-01-06
5447,2007-01-07
5449,2007-01-08
5449,2007-01-09
5449,2007-01-10
5404,2007-01-11
5424,2007-01-12
5507,2007-01-13
5515,2007-01-14
5507,2007-01-15
5513,2007-01-16
5564,2007-01-17
5577,2007-01-18
5589,2007-01-19
5601,2007-01-20
5588,2007-01-21
5600,2007-01-22
5632,2007-01-23
5616,2007-01-24
5669,2007-01-25
5694,2007-01-26
5700,2007-01-27
5727,2007-01-28
5730,2007-01-29
5748,2007-01-30
5776,2007-01-31
5766,2007-02-01
5760,2007-02-02
5863,2007-02-03
5863,2007-02-04
5882,2007-02-05
5914,2007-02-06
5926,2007-02-07
5951,2007-02-08
5964,2007-02-09
5988,2007-02-10
6005,2007-02-11
6036,2007-02-12
6046,2007-02-13
6069,2007-02-14
6089,2007-02-15
6115,2007-02-16
6115,2007-02-17
6115,2007-02-18
6150,2007-02-19
6176,2007-02-20
6217,2007-02-21
6217,2007-02-22
6270,2007-02-23
6270,2007-02-24
6311,2007-02-25
6313,2007-02-26
6340,2007-02-27
6373,2007-02-28
6384,2007-03-01
6403,2007-03-02
6410,2007-03-03
6436,2007-03-04
6457,2007-03-05
6473,2007-03-06
6489,2007-03-07
6501,2007-03-08
6514,2007-03-09
6514,2007-03-10
6540,2007-03-11
6562,2007-03-12
6582,2007-03-13
6604,2007-03-14
6627,2007-03-15
6651,2007-03-16
6660,2007-03-17
6681,2007-03-18
6713,2007-03-19
6714,2007-03-20
6786,2007-03-21
6810,2007-03-22
6830,2007-03-23
6855,2007-03-24
6871,2007-03-25
6902,2007-03-26
6914,2007-03-27
6934,2007-03-28
6934,2007-03-29
6999,2007-03-30
7021,2007-03-31
7039,2007-04-01
7038,2007-04-02
7074,2007-04-03
7074,2007-04-04
7141,2007-04-05
7139,2007-04-06
7163,2007-04-07
7179,2007-04-08
7202,2007-04-09
7203,2007-04-10
7227,2007-04-11
7260,2007-04-12
7282,2007-04-13
7295,2007-04-14
7295,2007-04-15
7343,2007-04-16
7365,2007-04-17
7348,2007-04-18
7401,2007-04-19
7407,2007-04-20
7445,2007-04-21
7479,2007-04-22
7471,2007-04-23
7538,2007-04-24
7532,2007-04-25
7576,2007-04-26
7593,2007-04-27
7612,2007-04-28
7611,2007-04-29
7654,2007-04-30
7665,2007-05-01
7665,2007-05-02
7718,2007-05-03
7687,2007-05-04
7698,2007-05-05
7471,2007-05-06
7654,2007-05-07
7687,2007-05-08
7822,2007-05-09
7835,2007-05-10
7797,2007-05-11
7887,2007-05-12
7906,2007-05-13
7906,2007-05-14
7989,2007-05-15
7994,2007-05-16
8035,2007-05-17
7989,2007-05-18
8094,2007-05-19
8108,2007-05-20
8110,2007-05-21
8167,2007-05-22
8219,2007-05-23
8220,2007-05-24
8274,2007-05-25
8294,2007-05-26
8311,2007-05-27
8363,2007-05-28
8400,2007-05-29
8457,2007-05-30
8487,2007-05-31
8561,2007-06-01
8598,2007-06-02
8632,2007-06-03
8698,2007-06-04
8755,2007-06-05
8795,2007-06-06
8834,2007-06-07
8869,2007-06-08
8883,2007-06-09
8938,2007-06-10
8978,2007-06-11
9032,2007-06-12
9060,2007-06-13
9101,2007-06-14
9131,2007-06-15
9144,2007-06-16
9178,2007-06-17
9207,2007-06-18
9250,2007-06-19
9294,2007-06-20
9312,2007-06-21
9345,2007-06-22
9375,2007-06-23
9402,2007-06-24
9423,2007-06-25
9454,2007-06-26
9512,2007-06-27
9552,2007-06-28
9582,2007-06-29
9607,2007-06-30
9637,2007-07-01
9670,2007-07-02
9701,2007-07-03
9759,2007-07-04
9837,2007-07-05
9956,2007-07-06
10045,2007-07-07
10116,2007-07-08
10165,2007-07-09
10230,2007-07-10
10294,2007-07-11
10353,2007-07-12
10405,2007-07-13
10413,2007-07-14
10457,2007-07-15
10537,2007-07-16
10591,2007-07-17
10645,2007-07-18
10704,2007-07-19
10765,2007-07-20
10791,2007-07-21
10807,2007-07-22
10899,2007-07-23
10957,2007-07-24
11026,2007-07-25
11087,2007-07-26
11106,2007-07-27
11155,2007-07-28
11191,2007-07-29
11241,2007-07-30
11294,2007-07-31
11328,2007-08-01
11372,2007-08-02
11416,2007-08-03
11470,2007-08-04
11511,2007-08-05
11567,2007-08-06
11617,2007-08-07
11692,2007-08-08
11751,2007-08-09
11823,2007-08-10
11860,2007-08-11
11877,2007-08-12
11941,2007-08-13
11962,2007-08-14
12021,2007-08-15
12067,2007-08-16
12109,2007-08-17
12124,2007-08-18
12165,2007-08-19
12232,2007-08-20
12275,2007-08-21
12338,2007-08-22
12382,2007-08-23
12417,2007-08-24
12453,2007-08-25
12503,2007-08-26
12551,2007-08-27
12615,2007-08-28
12667,2007-08-29
12693,2007-08-30
12772,2007-08-31
12808,2007-09-01
12845,2007-09-02
12883,2007-09-03
12935,2007-09-04
12983,2007-09-05
13036,2007-09-06
13089,2007-09-07
13114,2007-09-08
13139,2007-09-09
13197,2007-09-10
13254,2007-09-11
13324,2007-09-12
13388,2007-09-13
13459,2007-09-14
13502,2007-09-15
13589,2007-09-16
13757,2007-09-17
13861,2007-09-18
13919,2007-09-19
14041,2007-09-20
14171,2007-09-21
14267,2007-09-22
14373,2007-09-23
14492,2007-09-24
14626,2007-09-25
14772,2007-09-26
14842,2007-09-27
14928,2007-09-28
15002,2007-09-29
15071,2007-09-30
15160,2007-10-01
15266,2007-10-02
15371,2007-10-03
15436,2007-10-04
15529,2007-10-05
15582,2007-10-06
15680,2007-10-07
15772,2007-10-08
15850,2007-10-09
15944,2007-10-10
16123,2007-10-11
16264,2007-10-12
16347,2007-10-13
16459,2007-10-14
16599,2007-10-15
16696,2007-10-16
16797,2007-10-17
16885,2007-10-18
16981,2007-10-19
17051,2007-10-20
17135,2007-10-21
17224,2007-10-22
17310,2007-10-23
17403,2007-10-24
17475,2007-10-25
17547,2007-10-26
17593,2007-10-27
17658,2007-10-28
17730,2007-10-29
17803,2007-10-30
17893,2007-10-31
17975,2007-11-01
18053,2007-11-02
18097,2007-11-03
18160,2007-11-04
18237,2007-11-05
18320,2007-11-06
18415,2007-11-07
18496,2007-11-08
18562,2007-11-09
18628,2007-11-10
18683,2007-11-11
18780,2007-11-12
18958,2007-11-13
19088,2007-11-14
19230,2007-11-15
19338,2007-11-16
19398,2007-11-17
19520,2007-11-18
19615,2007-11-19
19726,2007-11-20
19866,2007-11-21
20001,2007-11-22
20160,2007-11-23
20225,2007-11-24
20303,2007-11-25
20387,2007-11-26
20452,2007-11-27
20518,2007-11-28
20578,2007-11-29
20648,2007-11-30
20707,2007-12-01
20774,2007-12-02
20838,2007-12-03
20939,2007-12-04
20998,2007-12-05
21091,2007-12-06
21205,2007-12-07
21264,2007-12-08
21352,2007-12-09
21425,2007-12-10
21570,2007-12-11
21670,2007-12-12
21766,2007-12-13
21832,2007-12-14
21879,2007-12-15
21937,2007-12-16
22022,2007-12-17
22079,2007-12-18
22168,2007-12-19
22245,2007-12-20
22299,2007-12-21
22336,2007-12-22
22395,2007-12-23
22437,2007-12-24
22481,2007-12-25
22529,2007-12-26
22613,2007-12-27
22653,2007-12-28
22728,2007-12-29
22803,2007-12-30
22934,2007-12-31
