class,2007,growth,2008,growth,2009,growth,2010,growth,2011,growth,2012,growth,2013,growth,2014,growth,2015 
residential,7547.1,61938.8%,4682129.6,25.1%,5859072.9,5.4%,6172800.8,3.4%,6383482.1,7.2%,6841428.1,4.9%,7173881.6,5.2%,7546587.6,3.5%,7806996.4 
track,392.1,58992.7%,231702.3,91.6%,443995.8,99.8%,887296.2,47.0%,1304734.6,53.6%,2004465.6,34.8%,2702710.1,27.9%,3456218.8,24.1%,4289068.5 
unclassified,13587.3,819.7%,124968.4,223.3%,404056.8,73.9%,702656.5,41.0%,990957.9,58.7%,1573036.1,41.4%,2223760.7,29.2%,2873802.0,20.2%,3454254.2 
tertiary,362.1,25205.2%,91630.2,320.6%,385432.3,121.5%,853558.6,42.6%,1217293.0,37.2%,1669971.5,27.1%,2121800.2,18.8%,2521645.4,12.7%,2843087.4 
secondary,9084.6,4774.6%,442836.4,103.9%,902888.7,26.7%,1143965.6,10.9%,1268235.9,9.9%,1393933.1,10.1%,1535013.3,10.4%,1694086.0,5.7%,1790438.8 
primary,15800.3,2000.1%,331815.1,97.6%,655770.5,39.6%,915487.9,10.1%,1008188.5,13.0%,1139157.5,8.7%,1238352.3,10.5%,1368188.7,5.3%,1441196.9 
service,410.4,72897.9%,299583.3,36.8%,409691.2,14.7%,470106.3,19.7%,562934.1,26.8%,713796.5,26.0%,899619.2,22.6%,1103184.1,20.1%,1325306.6 
path,6.9,-17.4%,5.7,216835.1%,12365.3,643.5%,91932.8,119.7%,201938.1,92.0%,387712.3,38.1%,535324.9,26.3%,675911.3,26.9%,857855.2 
trunk,6102.7,1531.9%,99587.1,161.0%,259942.4,32.9%,345540.6,29.0%,445673.5,15.7%,515673.0,11.3%,573846.2,6.8%,612612.6,10.6%,677376.2 
motorway,22009.3,765.3%,190443.1,37.8%,262406.0,15.3%,302470.6,10.1%,332886.7,6.1%,353234.0,10.1%,388962.0,9.8%,426911.9,6.3%,453959.0 
footway,1794.2,1617.0%,30805.7,271.6%,114460.9,36.9%,156681.1,21.5%,190292.0,37.0%,260633.1,21.6%,316845.4,18.3%,374897.2,16.5%,436842.7 
road,0.0,,0.1,41774700.0%,41774.8,541.5%,267969.2,46.8%,393356.7,15.1%,452848.0,-6.3%,424338.3,-8.6%,387895.8,-9.1%,352517.8 
cycleway,557.6,1964.8%,11513.2,294.3%,45394.4,71.6%,77899.0,21.7%,94832.5,16.3%,110329.0,14.5%,126334.9,11.4%,140723.0,9.5%,154126.4 
motorway_link,887.1,3413.8%,31170.5,42.7%,44484.5,16.1%,51662.7,18.5%,61243.6,15.6%,70814.8,13.2%,80193.1,7.6%,86304.9,5.1%,90737.3 
living_street,0.0,,0.6,571233.3%,3428.0,211.6%,10680.1,59.5%,17039.6,99.4%,33972.5,46.8%,49884.4,34.7%,67212.1,12.7%,75758.7 
proposed,0.0,,45.4,207.5%,139.6,245.8%,482.8,867.9%,4673.0,87.1%,8741.0,102.1%,17664.7,42.3%,25145.1,57.4%,39584.8 
construction,0.0,,47.9,5337.6%,2604.6,164.3%,6883.8,58.0%,10874.3,50.3%,16339.7,46.0%,23856.4,19.1%,28404.8,14.0%,32390.7 
trunk_link,113.1,1685.7%,2019.6,198.6%,6031.2,63.1%,9834.2,36.5%,13424.2,31.3%,17632.5,22.9%,21678.5,13.1%,24526.3,8.8%,26690.3 
bridleway,416.2,320.8%,1751.4,135.4%,4123.2,97.5%,8142.6,36.3%,11100.5,35.4%,15027.6,25.8%,18897.4,19.7%,22614.7,8.1%,24439.3 
primary_link,92.6,1032.5%,1048.7,288.8%,4077.8,88.7%,7696.1,9.9%,8455.0,41.2%,11937.5,32.0%,15753.7,10.0%,17329.5,12.1%,19426.4 
pedestrian,13.7,35756.9%,4912.4,20.5%,5918.8,24.8%,7384.0,16.7%,8619.3,22.5%,10556.7,21.3%,12803.3,13.7%,14557.7,8.5%,15800.9 
tertiary_link,0.0,,2.3,34.8%,3.1,941.9%,32.3,729.1%,267.8,1287.2%,3714.8,160.8%,9688.2,43.4%,13892.2,8.8%,15116.6 
secondary_link,2.1,1923.8%,42.5,101.9%,85.8,1268.1%,1173.8,36.9%,1606.6,151.9%,4047.6,82.2%,7373.0,31.3%,9682.5,7.1%,10365.7 
steps,7.7,1368.8%,113.1,539.0%,722.7,117.3%,1570.4,55.1%,2435.7,70.3%,4146.9,13.9%,4723.4,22.8%,5800.9,17.7%,6828.1 
raceway,0.6,0.0%,0.6,3066.7%,19.0,684.7%,149.1,99.9%,298.0,126.2%,674.2,57.0%,1058.3,43.9%,1523.4,14.4%,1742.3 
abandoned,0.0,,6.0,113.3%,12.8,146.1%,31.5,465.1%,178.0,184.3%,506.1,67.5%,847.6,30.1%,1102.9,3.1%,1137.1 
platform,0.0,,0.1,300.0%,0.4,5750.0%,23.4,323.1%,99.0,116.2%,214.0,65.7%,354.6,48.2%,525.5,22.5%,644.0 
