date,value
2005-04-09,1
2005-04-17,1
2005-04-18,1
2005-04-19,1
2005-04-26,1
2005-05-01,1
2005-05-02,1
2005-05-03,1
2005-05-04,1
2005-05-09,1
2005-05-10,1
2005-05-14,2
2005-05-21,1
2005-05-22,2
2005-05-23,1
2005-05-24,2
2005-05-25,1
2005-05-26,1
2005-05-27,2
2005-05-28,2
2005-05-29,1
2005-05-30,1
2005-06-01,2
2005-06-02,3
2005-06-03,1
2005-06-04,1
2005-06-05,1
2005-06-06,1
2005-06-07,2
2005-06-08,2
2005-06-09,1
2005-06-11,1
2005-06-12,1
2005-06-15,1
2005-06-23,3
2005-06-24,2
2005-06-25,2
2005-06-27,2
2005-06-28,1
2005-06-29,1
2005-07-05,2
2005-07-06,2
2005-07-07,4
2005-07-08,3
2005-07-10,1
2005-07-12,3
2005-07-14,1
2005-07-16,4
2005-07-18,3
2005-07-19,2
2005-07-20,4
2005-07-21,6
2005-07-22,2
2005-07-23,3
2005-07-24,2
2005-07-25,3
2005-07-26,4
2005-07-27,2
2005-07-28,3
2005-07-29,3
2005-07-30,3
2005-07-31,2
2005-08-01,3
2005-08-02,2
2005-08-03,2
2005-08-04,4
2005-08-05,2
2005-08-06,2
2005-08-07,4
2005-08-08,3
2005-08-09,3
2005-08-10,3
2005-08-11,2
2005-08-12,2
2005-08-13,1
2005-08-14,2
2005-08-15,3
2005-08-16,3
2005-08-17,3
2005-08-18,1
2005-08-19,2
2005-08-20,2
2005-08-21,1
2005-08-23,2
2005-08-24,1
2005-08-25,1
2005-08-27,3
2005-08-28,2
2005-08-29,4
2005-08-30,3
2005-08-31,1
2005-09-01,1
2005-09-03,1
2005-09-04,1
2005-09-05,1
2005-09-06,1
2005-09-07,1
2005-09-08,1
2005-09-09,1
2005-09-10,1
2005-09-11,2
2005-09-12,2
2005-09-13,2
2005-09-14,2
2005-09-15,1
2005-09-16,3
2005-09-17,1
2005-09-18,3
2005-09-19,3
2005-09-20,3
2005-09-21,1
2005-09-22,1
2005-09-25,1
2005-09-26,2
2005-09-27,3
2005-09-28,1
2005-09-29,2
2005-09-30,2
2005-10-01,2
2005-10-02,1
2005-10-03,3
2005-10-04,4
2005-10-05,4
2005-10-06,3
2005-10-07,4
2005-10-08,4
2005-10-09,3
2005-10-10,1
2005-10-11,3
2005-10-12,3
2005-10-13,2
2005-10-14,1
2005-10-15,4
2005-10-16,2
2005-10-17,4
2005-10-18,4
2005-10-19,4
2005-10-20,6
2005-10-21,4
2005-10-22,6
2005-10-23,8
2005-10-24,4
2005-10-25,9
2005-10-26,3
2005-10-29,6
2005-10-30,4
2005-10-31,3
2005-11-01,5
2005-11-02,4
2005-11-03,2
2005-11-04,5
2005-11-05,4
2005-11-06,6
2005-11-07,8
2005-11-08,8
2005-11-09,10
2005-11-10,12
2005-11-11,6
2005-11-12,4
2005-11-13,7
2005-11-14,4
2005-11-15,7
2005-11-16,6
2005-11-17,5
2005-11-18,6
2005-11-19,5
2005-11-20,12
2005-11-21,8
2005-11-22,5
2005-11-23,7
2005-11-24,4
2005-11-25,6
2005-11-26,8
2005-11-27,12
2005-11-28,5
2005-11-29,8
2005-11-30,9
2005-12-01,4
2005-12-02,9
2005-12-03,7
2005-12-04,8
2005-12-05,8
2005-12-06,3
2005-12-07,1
2005-12-08,6
2005-12-09,1
2005-12-10,6
2005-12-11,6
2005-12-12,8
2005-12-13,8
2005-12-14,6
2005-12-15,8
2005-12-16,7
2005-12-17,10
2005-12-18,9
2005-12-19,6
2005-12-20,6
2005-12-21,9
2005-12-22,6
2005-12-23,8
2005-12-24,8
2005-12-25,6
2005-12-26,7
2005-12-27,15
2005-12-28,12
2005-12-29,11
2005-12-30,9
2005-12-31,8
2006-01-01,11
2006-01-02,9
2006-01-03,9
2006-01-04,8
2006-01-05,11
2006-01-06,6
2006-01-07,10
2006-01-08,14
2006-01-09,13
2006-01-10,17
2006-01-11,9
2006-01-12,13
2006-01-13,16
2006-01-14,13
2006-01-15,12
2006-01-16,9
2006-01-17,17
2006-01-18,9
2006-01-19,10
2006-01-20,8
2006-01-21,9
2006-01-22,14
2006-01-23,19
2006-01-24,11
2006-01-25,11
2006-01-26,14
2006-01-27,8
2006-01-28,14
2006-01-29,10
2006-01-30,11
2006-01-31,10
2006-02-01,10
2006-02-02,9
2006-02-03,7
2006-02-04,10
2006-02-05,9
2006-02-06,6
2006-02-07,11
2006-02-08,6
2006-02-09,5
2006-02-10,4
2006-02-11,8
2006-02-12,11
2006-02-13,10
2006-02-14,7
2006-02-15,7
2006-02-16,7
2006-02-17,14
2006-02-18,12
2006-02-19,13
2006-02-20,14
2006-02-21,15
2006-02-22,11
2006-02-23,10
2006-02-24,13
2006-02-25,11
2006-02-26,12
2006-02-27,10
2006-02-28,7
2006-03-01,5
2006-03-02,5
2006-03-03,3
2006-03-04,5
2006-03-05,4
2006-03-06,8
2006-03-07,7
2006-03-08,8
2006-03-09,7
2006-03-10,5
2006-03-11,9
2006-03-12,9
2006-03-13,10
2006-03-14,15
2006-03-15,12
2006-03-16,7
2006-03-17,6
2006-03-18,7
2006-03-19,13
2006-03-20,11
2006-03-21,10
2006-03-22,14
2006-03-23,13
2006-03-24,9
2006-03-25,11
2006-03-26,10
2006-03-27,16
2006-03-28,11
2006-03-29,14
2006-03-30,13
2006-03-31,9
2006-04-01,11
2006-04-02,15
2006-04-03,12
2006-04-04,8
2006-04-05,10
2006-04-06,7
2006-04-07,10
2006-04-08,19
2006-04-09,20
2006-04-10,13
2006-04-11,19
2006-04-12,12
2006-04-13,11
2006-04-14,16
2006-04-15,19
2006-04-16,19
2006-04-17,19
2006-04-18,15
2006-04-19,18
2006-04-20,15
2006-04-21,15
2006-04-22,6
2006-04-23,20
2006-04-24,10
2006-04-25,16
2006-04-26,20
2006-04-27,17
2006-04-28,16
2006-04-29,14
2006-04-30,16
2006-05-01,18
2006-05-02,11
2006-05-04,18
2006-05-05,14
2006-05-06,17
2006-05-07,23
2006-05-08,15
2006-05-09,23
2006-05-10,21
2006-05-11,21
2006-05-12,18
2006-05-13,16
2006-05-14,29
2006-05-15,27
2006-05-16,29
2006-05-17,17
2006-05-18,17
2006-05-19,15
2006-05-20,17
2006-05-21,19
2006-05-22,22
2006-05-23,21
2006-05-24,22
2006-05-25,15
2006-05-26,17
2006-05-27,17
2006-05-28,20
2006-05-29,14
2006-05-30,16
2006-05-31,19
2006-06-01,16
2006-06-02,18
2006-06-03,17
2006-06-04,22
2006-06-05,18
2006-06-06,17
2006-06-07,17
2006-06-08,13
2006-06-09,18
2006-06-10,19
2006-06-11,22
2006-06-12,18
2006-06-13,21
2006-06-14,16
2006-06-15,14
2006-06-16,12
2006-06-17,11
2006-06-18,20
2006-06-19,18
2006-06-20,17
2006-06-21,14
2006-06-22,18
2006-06-23,12
2006-06-24,19
2006-06-25,23
2006-06-26,15
2006-06-27,18
2006-06-28,15
2006-06-29,18
2006-06-30,17
2006-07-01,26
2006-07-02,19
2006-07-03,12
2006-07-04,20
2006-07-05,25
2006-07-06,21
2006-07-07,26
2006-07-08,17
2006-07-09,32
2006-07-10,25
2006-07-11,26
2006-07-12,27
2006-07-13,22
2006-07-14,29
2006-07-15,23
2006-07-16,28
2006-07-17,30
2006-07-18,29
2006-07-19,30
2006-07-20,30
2006-07-21,24
2006-07-22,19
2006-07-23,21
2006-07-24,21
2006-07-25,19
2006-07-26,18
2006-07-27,24
2006-07-28,17
2006-07-29,26
2006-07-30,29
2006-07-31,30
2006-08-01,27
2006-08-02,23
2006-08-03,16
2006-08-04,17
2006-08-05,11
2006-08-06,27
2006-08-07,22
2006-08-08,17
2006-08-09,25
2006-08-10,25
2006-08-11,24
2006-08-12,18
2006-08-13,27
2006-08-14,19
2006-08-15,27
2006-08-16,28
2006-08-17,28
2006-08-18,28
2006-08-19,29
2006-08-20,35
2006-08-21,27
2006-08-22,32
2006-08-23,34
2006-08-24,21
2006-08-25,23
2006-08-26,25
2006-08-27,30
2006-08-28,24
2006-08-29,36
2006-08-30,25
2006-08-31,36
2006-09-01,32
2006-09-02,32
2006-09-03,31
2006-09-04,26
2006-09-05,33
2006-09-06,29
2006-09-07,27
2006-09-08,23
2006-09-09,22
2006-09-10,31
2006-09-11,32
2006-09-12,37
2006-09-13,33
2006-09-14,25
2006-09-15,25
2006-09-16,33
2006-09-17,35
2006-09-18,34
2006-09-19,33
2006-09-20,31
2006-09-21,34
2006-09-22,32
2006-09-23,23
2006-09-24,36
2006-09-25,35
2006-09-26,31
2006-09-27,38
2006-09-28,39
2006-09-29,36
2006-09-30,31
2006-10-01,41
2006-10-02,32
2006-10-03,28
2006-10-04,29
2006-10-05,28
2006-10-06,29
2006-10-07,36
2006-10-08,33
2006-10-09,35
2006-10-10,47
2006-10-11,42
2006-10-12,26
2006-10-13,33
2006-10-14,49
2006-10-15,40
2006-10-16,54
2006-10-17,41
2006-10-18,42
2006-10-19,32
2006-10-20,37
2006-10-21,40
2006-10-22,45
2006-10-23,36
2006-10-24,39
2006-10-25,25
2006-10-26,33
2006-10-27,28
2006-10-28,41
2006-10-29,42
2006-10-30,41
2006-10-31,38
2006-11-01,38
2006-11-02,38
2006-11-03,26
2006-11-04,37
2006-11-05,41
2006-11-06,36
2006-11-07,31
2006-11-08,40
2006-11-09,35
2006-11-10,37
2006-11-11,34
2006-11-12,39
2006-11-13,35
2006-11-14,37
2006-11-15,47
2006-11-16,50
2006-11-17,45
2006-11-18,44
2006-11-19,52
2006-11-20,49
2006-11-21,51
2006-11-22,51
2006-11-23,42
2006-11-24,46
2006-11-25,45
2006-11-26,60
2006-11-27,53
2006-11-28,63
2006-11-29,54
2006-11-30,51
2006-12-01,61
2006-12-02,58
2006-12-03,70
2006-12-04,62
2006-12-05,51
2006-12-06,54
2006-12-07,46
2006-12-08,48
2006-12-09,48
2006-12-10,63
2006-12-11,53
2006-12-12,56
2006-12-13,54
2006-12-14,58
2006-12-15,49
2006-12-16,50
2006-12-17,55
2006-12-18,49
2006-12-19,48
2006-12-20,59
2006-12-21,49
2006-12-22,52
2006-12-23,53
2006-12-24,38
2006-12-25,40
2006-12-26,57
2006-12-27,50
2006-12-28,63
2006-12-29,64
2006-12-30,61
2006-12-31,48
2007-01-01,57
2007-01-02,65
2007-01-03,60
2007-01-04,66
2007-01-05,65
2007-01-06,70
2007-01-07,63
2007-01-08,66
2007-01-09,56
2007-01-10,56
2007-01-11,56
2007-01-12,50
2007-01-13,64
2007-01-14,71
2007-01-15,66
2007-01-16,74
2007-01-17,71
2007-01-18,57
2007-01-19,69
2007-01-20,77
2007-01-21,83
2007-01-22,62
2007-01-23,75
2007-01-24,73
2007-01-25,67
2007-01-26,60
2007-01-27,86
2007-01-28,104
2007-01-29,81
2007-01-30,76
2007-01-31,71
2007-02-01,74
2007-02-02,45
2007-02-03,73
2007-02-04,89
2007-02-05,82
2007-02-06,81
2007-02-07,72
2007-02-08,74
2007-02-09,83
2007-02-10,73
2007-02-11,92
2007-02-12,85
2007-02-13,89
2007-02-14,76
2007-02-15,81
2007-02-16,78
2007-02-17,88
2007-02-18,98
2007-02-19,88
2007-02-20,81
2007-02-21,89
2007-02-22,81
2007-02-23,88
2007-02-24,91
2007-02-25,93
2007-02-26,93
2007-02-27,98
2007-02-28,93
2007-03-01,97
2007-03-02,89
2007-03-03,86
2007-03-04,97
2007-03-05,98
2007-03-06,86
2007-03-07,101
2007-03-08,104
2007-03-09,80
2007-03-10,94
2007-03-11,104
2007-03-12,102
2007-03-13,93
2007-03-14,91
2007-03-15,107
2007-03-16,93
2007-03-17,103
2007-03-18,113
2007-03-19,112
2007-03-20,102
2007-03-21,91
2007-03-22,98
2007-03-23,96
2007-03-24,118
2007-03-25,116
2007-03-26,110
2007-03-27,114
2007-03-28,101
2007-03-29,94
2007-03-30,113
2007-03-31,117
2007-04-01,131
2007-04-02,131
2007-04-03,127
2007-04-04,119
2007-04-05,115
2007-04-06,120
2007-04-07,128
2007-04-08,116
2007-04-09,135
2007-04-10,117
2007-04-11,118
2007-04-12,121
2007-04-13,108
2007-04-14,91
2007-04-15,77
2007-04-16,124
2007-04-17,135
2007-04-18,118
2007-04-19,116
2007-04-20,126
2007-04-21,130
2007-04-22,128
2007-04-23,133
2007-04-24,135
2007-04-25,145
2007-04-26,129
2007-04-27,122
2007-04-28,121
2007-04-29,134
2007-04-30,120
2007-05-01,134
2007-05-02,128
2007-05-03,132
2007-05-04,75
2007-05-05,53
2007-05-06,16
2007-05-07,116
2007-05-08,101
2007-05-09,123
2007-05-10,133
2007-05-11,112
2007-05-12,143
2007-05-13,173
2007-05-14,153
2007-05-15,150
2007-05-16,139
2007-05-17,167
2007-05-18,165
2007-05-19,171
2007-05-20,185
2007-05-21,160
2007-05-22,141
2007-05-23,166
2007-05-24,171
2007-05-25,159
2007-05-26,161
2007-05-27,187
2007-05-28,182
2007-05-29,182
2007-05-30,187
2007-05-31,174
2007-06-01,173
2007-06-02,167
2007-06-03,195
2007-06-04,204
2007-06-05,203
2007-06-06,176
2007-06-07,203
2007-06-08,170
2007-06-09,181
2007-06-10,213
2007-06-11,219
2007-06-12,220
2007-06-13,185
2007-06-14,193
2007-06-15,199
2007-06-16,182
2007-06-17,240
2007-06-18,217
2007-06-19,238
2007-06-20,167
2007-06-21,193
2007-06-22,183
2007-06-23,167
2007-06-24,167
2007-06-25,192
2007-06-26,180
2007-06-27,163
2007-06-28,161
2007-06-29,156
2007-06-30,158
2007-07-01,202
2007-07-02,200
2007-07-03,160
2007-07-04,191
2007-07-05,165
2007-07-06,179
2007-07-07,186
2007-07-08,194
2007-07-09,159
2007-07-10,184
2007-07-11,185
2007-07-12,184
2007-07-13,162
2007-07-14,75
2007-07-15,143
2007-07-16,229
2007-07-17,202
2007-07-18,199
2007-07-19,185
2007-07-20,193
2007-07-21,166
2007-07-22,192
2007-07-23,201
2007-07-24,216
2007-07-25,198
2007-07-26,200
2007-07-27,207
2007-07-28,197
2007-07-29,85
2007-07-30,252
2007-07-31,225
2007-08-01,217
2007-08-02,206
2007-08-03,199
2007-08-04,195
2007-08-05,202
2007-08-06,194
2007-08-07,198
2007-08-08,212
2007-08-09,218
2007-08-10,195
2007-08-11,189
2007-08-12,214
2007-08-13,229
2007-08-14,212
2007-08-15,219
2007-08-16,199
2007-08-17,215
2007-08-18,202
2007-08-19,224
2007-08-20,246
2007-08-21,237
2007-08-22,228
2007-08-23,194
2007-08-24,235
2007-08-25,210
2007-08-26,230
2007-08-27,256
2007-08-28,243
2007-08-29,227
2007-08-30,208
2007-08-31,221
2007-09-01,212
2007-09-02,209
2007-09-03,267
2007-09-04,254
2007-09-05,243
2007-09-06,240
2007-09-07,238
2007-09-08,219
2007-09-09,242
2007-09-10,266
2007-09-11,247
2007-09-12,276
2007-09-13,265
2007-09-14,273
2007-09-15,237
2007-09-16,259
2007-09-17,275
2007-09-18,251
2007-09-19,262
2007-09-20,274
2007-09-21,282
2007-09-22,277
2007-09-23,331
2007-09-24,306
2007-09-25,328
2007-09-26,350
2007-09-27,309
2007-09-28,306
2007-09-29,290
2007-09-30,333
2007-10-01,323
2007-10-02,334
2007-10-03,348
2007-10-04,330
2007-10-05,288
2007-10-06,275
2007-10-07,260
2007-10-08,373
2007-10-09,352
2007-10-10,358
2007-10-11,365
2007-10-12,381
2007-10-13,360
2007-10-14,409
2007-10-15,435
2007-10-16,442
2007-10-17,414
2007-10-18,387
2007-10-19,403
2007-10-20,380
2007-10-21,417
2007-10-22,403
2007-10-23,386
2007-10-24,370
2007-10-25,370
2007-10-26,363
2007-10-27,367
2007-10-28,434
2007-10-29,414
2007-10-30,378
2007-10-31,370
2007-11-01,394
2007-11-02,395
2007-11-03,387
2007-11-04,425
2007-11-05,393
2007-11-06,347
2007-11-07,393
2007-11-08,344
2007-11-09,375
2007-11-10,374
2007-11-11,404
2007-11-12,396
2007-11-13,423
2007-11-14,362
2007-11-15,390
2007-11-16,362
2007-11-17,338
2007-11-18,427
2007-11-19,423
2007-11-20,427
2007-11-21,425
2007-11-22,403
2007-11-23,420
2007-11-24,385
2007-11-25,440
2007-11-26,422
2007-11-27,430
2007-11-28,399
2007-11-29,385
2007-11-30,371
2007-12-01,386
2007-12-02,433
2007-12-03,400
2007-12-04,395
2007-12-05,420
2007-12-06,379
2007-12-07,393
2007-12-08,366
2007-12-09,431
2007-12-10,386
2007-12-11,412
2007-12-12,376
2007-12-13,367
2007-12-14,366
2007-12-15,380
2007-12-16,412
2007-12-17,408
2007-12-18,392
2007-12-19,381
2007-12-20,374
2007-12-21,328
2007-12-22,324
2007-12-23,347
2007-12-24,327
2007-12-25,301
2007-12-26,371
2007-12-27,389
2007-12-28,374
2007-12-29,410
2007-12-30,450
2007-12-31,449
2008-01-01,414
2008-01-02,486
2008-01-03,460
2008-01-04,475
2008-01-05,447
2008-01-06,515
2008-01-07,473
2008-01-08,435
2008-01-09,456
2008-01-10,431
2008-01-11,414
2008-01-12,445
2008-01-13,515
2008-01-14,504
2008-01-15,486
2008-01-16,441
2008-01-17,454
2008-01-18,414
2008-01-19,416
2008-01-20,531
2008-01-21,450
2008-01-22,461
2008-01-23,408
2008-01-24,465
2008-01-25,426
2008-01-26,471
2008-01-27,527
2008-01-28,487
2008-01-29,460
2008-01-30,426
2008-01-31,465
2008-02-01,450
2008-02-02,438
2008-02-03,533
2008-02-04,528
2008-02-05,470
2008-02-06,496
2008-02-07,475
2008-02-08,455
2008-02-09,471
2008-02-10,556
2008-02-11,501
2008-02-12,475
2008-02-13,479
2008-02-14,456
2008-02-15,427
2008-02-16,511
2008-02-17,564
2008-02-18,533
2008-02-19,493
2008-02-20,499
2008-02-21,480
2008-02-22,457
2008-02-23,495
2008-02-24,543
2008-02-25,551
2008-02-26,501
2008-02-27,472
2008-02-28,566
2008-02-29,488
2008-03-01,475
2008-03-02,596
2008-03-03,523
2008-03-04,447
2008-03-05,498
2008-03-06,487
2008-03-07,490
2008-03-08,489
2008-03-09,552
2008-03-10,522
2008-03-11,512
2008-03-12,511
2008-03-13,506
2008-03-14,515
2008-03-15,475
2008-03-16,568
2008-03-17,546
2008-03-18,553
2008-03-19,539
2008-03-20,558
2008-03-21,543
2008-03-22,542
2008-03-23,548
2008-03-24,656
2008-03-25,678
2008-03-26,606
2008-03-27,595
2008-03-28,614
2008-03-29,570
2008-03-30,661
2008-03-31,613
2008-04-01,587
2008-04-02,563
2008-04-03,605
2008-04-04,603
2008-04-05,556
2008-04-06,661
2008-04-07,644
2008-04-08,646
2008-04-09,676
2008-04-10,649
2008-04-11,614
2008-04-12,574
2008-04-13,672
2008-04-14,660
2008-04-15,620
2008-04-16,634
2008-04-17,636
2008-04-18,626
2008-04-19,596
2008-04-20,690
2008-04-21,736
2008-04-22,690
2008-04-23,698
2008-04-24,643
2008-04-25,625
2008-04-26,601
2008-04-27,723
2008-04-28,763
2008-04-29,697
2008-04-30,669
2008-05-01,674
2008-05-02,571
2008-05-03,632
2008-05-04,741
2008-05-05,743
2008-05-06,729
2008-05-07,698
2008-05-08,709
2008-05-09,625
2008-05-10,616
2008-05-11,695
2008-05-12,781
2008-05-13,721
2008-05-14,705
2008-05-15,661
2008-05-16,633
2008-05-17,588
2008-05-18,714
2008-05-19,718
2008-05-20,676
2008-05-21,680
2008-05-22,679
2008-05-23,739
2008-05-24,779
2008-05-25,875
2008-05-26,922
2008-05-27,928
2008-05-28,864
2008-05-29,853
2008-05-30,884
2008-05-31,945
2008-06-01,1039
2008-06-02,960
2008-06-03,1015
2008-06-04,1037
2008-06-05,995
2008-06-06,990
2008-06-07,909
2008-06-08,1037
2008-06-09,1048
2008-06-10,984
2008-06-11,996
2008-06-12,960
2008-06-13,893
2008-06-14,881
2008-06-15,1141
2008-06-16,1049
2008-06-17,976
2008-06-18,984
2008-06-19,615
2008-06-20,732
2008-06-21,907
2008-06-22,1045
2008-06-23,1038
2008-06-24,992
2008-06-25,1023
2008-06-26,921
2008-06-27,942
2008-06-28,860
2008-06-29,977
2008-06-30,1018
2008-07-01,975
2008-07-02,1024
2008-07-03,1053
2008-07-04,982
2008-07-05,895
2008-07-06,1083
2008-07-07,1061
2008-07-08,1044
2008-07-09,1014
2008-07-10,979
2008-07-11,935
