date,value
2005-04,3
2005-05,4
2005-06,8
2005-07,15
2005-08,21
2005-09,10
2005-10,21
2005-11,38
2005-12,42
2006-01,50
2006-02,47
2006-03,51
2006-04,80
2006-05,96
2006-06,90
2006-07,104
2006-08,123
2006-09,131
2006-10,147
2006-11,190
2006-12,243
2007-01,270
2007-02,321
2007-03,421
2007-04,495
2007-05,604
2007-06,832
2007-07,873
2007-08,1017
2007-09,1290
2007-10,1868
2007-11,2106
2007-12,2148
2008-01,2567
2008-02,2865
2008-03,3199
2008-04,3589
2008-05,4828
2008-06,5903
2008-07,6469
2008-08,7759
2008-09,7131
2008-10,6851
2008-11,6824
2008-12,6555
2009-01,7778
2009-02,7335
2009-03,8856
2009-04,10928
2009-05,13921
2009-06,12262
2009-07,13395
2009-08,15805
2009-09,16411
2009-10,14450
2009-11,13690
2009-12,11473
2010-01,13331
2010-02,12403
2010-03,13691
2010-04,14536
2010-05,14236
2010-06,14018
2010-07,13621
2010-08,15429
2010-09,14336
2010-10,13788
2010-11,13882
2010-12,14169
2011-01,14827
2011-02,14856
2011-03,15848
2011-04,17401
2011-05,17340
2011-06,18446
2011-07,18240
2011-08,16931
2011-09,15435
2011-10,16318
2011-11,15649
2011-12,15628
2012-01,18307
2012-02,15961
2012-03,24507
2012-04,21801
2012-05,20534
2012-06,20891
2012-07,20373
2012-08,21330
2012-09,22518
2012-10,21084
2012-11,19900
2012-12,18033
2013-01,21067
2013-02,18849
2013-03,19551
2013-04,20625
2013-05,26146
2013-06,22658
2013-07,22397
2013-08,23336
2013-09,22377
2013-10,21814
2013-11,22777
2013-12,21526
2014-01,26377
2014-02,23431
2014-03,26519
2014-04,25816
2014-05,25453
2014-06,24758
2014-07,24492
2014-08,29110
2014-09,24915
2014-10,25950
2014-11,25301
2014-12,23895
